/* The timer/log is segmented. If you need previous logs, check the igt_freeze_1.log file. */
Tick 59682(59249), Delay 56 ms, IGT 49:22.264, RTA 56:23.355-56:23.411
Tick 59684(59251), Delay 42 ms, IGT 49:22.364, RTA 56:23.459-56:23.501
Tick 59690(59257), Delay 61 ms, IGT 49:22.664, RTA 56:23.751-56:23.812
Tick 59692(59259), Delay 45 ms, IGT 49:22.764, RTA 56:23.860-56:23.905
Tick 59693(59260), Delay 55 ms, IGT 49:22.814, RTA 56:23.905-56:23.960
Tick 59695(59262), Delay 45 ms, IGT 49:22.914, RTA 56:24.006-56:24.051
Tick 59696(59263), Delay 55 ms, IGT 49:22.964, RTA 56:24.051-56:24.106
Tick 59709(59276), Delay 58 ms, IGT 49:23.614, RTA 56:24.700-56:24.758
Tick 59711(59278), Delay 41 ms, IGT 49:23.714, RTA 56:24.810-56:24.851
Tick 59712(59279), Delay 57 ms, IGT 49:23.764, RTA 56:24.851-56:24.908
Tick 59724(59291), Delay 42 ms, IGT 49:24.364, RTA 56:25.458-56:25.500
Tick 59730(59297), Delay 44 ms, IGT 49:24.664, RTA 56:25.756-56:25.800
Tick 59733(59300), Delay 58 ms, IGT 49:24.814, RTA 56:25.900-56:25.958
Tick 59736(59303), Delay 57 ms, IGT 49:24.964, RTA 56:26.051-56:26.108
Tick 59753(59320), Delay 60 ms, IGT 49:25.814, RTA 56:26.901-56:26.961
Tick 59754(59321), Delay 44 ms, IGT 49:25.864, RTA 56:26.961-56:27.005
Tick 59756(59323), Delay 59 ms, IGT 49:25.964, RTA 56:27.051-56:27.110
Tick 59757(59324), Delay 39 ms, IGT 49:26.014, RTA 56:27.110-56:27.149
Tick 59758(59325), Delay 56 ms, IGT 49:26.064, RTA 56:27.149-56:27.205
Tick 59764(59331), Delay 56 ms, IGT 49:26.364, RTA 56:27.453-56:27.509
Tick 59765(59332), Delay 44 ms, IGT 49:26.414, RTA 56:27.509-56:27.553
Tick 59770(59337), Delay 63 ms, IGT 49:26.664, RTA 56:27.756-56:27.819
Tick 59771(59338), Delay 41 ms, IGT 49:26.714, RTA 56:27.819-56:27.860
Tick 59775(59342), Delay 57 ms, IGT 49:26.914, RTA 56:28.006-56:28.063
Tick 59776(59343), Delay 45 ms, IGT 49:26.964, RTA 56:28.063-56:28.108
Tick 59777(59344), Delay 42 ms, IGT 49:27.014, RTA 56:28.108-56:28.150
Tick 59779(59346), Delay 61 ms, IGT 49:27.114, RTA 56:28.200-56:28.261
Tick 59781(59348), Delay 55 ms, IGT 49:27.214, RTA 56:28.309-56:28.364
Tick 59782(59349), Delay 37 ms, IGT 49:27.264, RTA 56:28.364-56:28.401
Tick 59784(59351), Delay 59 ms, IGT 49:27.364, RTA 56:28.450-56:28.509
Tick 59786(59353), Delay 45 ms, IGT 49:27.464, RTA 56:28.556-56:28.601
Tick 59787(59354), Delay 61 ms, IGT 49:27.514, RTA 56:28.601-56:28.662
Tick 59790(59357), Delay 62 ms, IGT 49:27.664, RTA 56:28.754-56:28.816
Tick 59791(59358), Delay 45 ms, IGT 49:27.714, RTA 56:28.816-56:28.861
Tick 59792(59359), Delay 55 ms, IGT 49:27.764, RTA 56:28.861-56:28.916
Tick 59793(59360), Delay 45 ms, IGT 49:27.814, RTA 56:28.916-56:28.961
Tick 59794(59361), Delay 63 ms, IGT 49:27.864, RTA 56:28.961-56:29.024
Tick 59795(59362), Delay 27 ms, IGT 49:27.914, RTA 56:29.024-56:29.051
Tick 59796(59363), Delay 62 ms, IGT 49:27.964, RTA 56:29.051-56:29.113
Tick 59797(59364), Delay 41 ms, IGT 49:28.014, RTA 56:29.113-56:29.154
Tick 59798(59365), Delay 56 ms, IGT 49:28.064, RTA 56:29.154-56:29.210
Tick 59801(59368), Delay 36 ms, IGT 49:28.214, RTA 56:29.317-56:29.353
Tick 59802(59369), Delay 68 ms, IGT 49:28.264, RTA 56:29.353-56:29.421
Tick 59803(59370), Delay 42 ms, IGT 49:28.314, RTA 56:29.421-56:29.463
Tick 59804(59371), Delay 39 ms, IGT 49:28.364, RTA 56:29.463-56:29.502
Tick 59805(59372), Delay 75 ms, IGT 49:28.414, RTA 56:29.502-56:29.577
Tick 59806(59373), Delay 31 ms, IGT 49:28.464, RTA 56:29.577-56:29.608
Tick 59807(59374), Delay 56 ms, IGT 49:28.514, RTA 56:29.608-56:29.664
Tick 59808(59375), Delay 45 ms, IGT 49:28.564, RTA 56:29.664-56:29.709
Tick 59810(59377), Delay 45 ms, IGT 49:28.664, RTA 56:29.756-56:29.801
Tick 59811(59378), Delay 73 ms, IGT 49:28.714, RTA 56:29.801-56:29.874
Tick 59812(59379), Delay 25 ms, IGT 49:28.764, RTA 56:29.874-56:29.899
Tick 59813(59380), Delay 56 ms, IGT 49:28.814, RTA 56:29.899-56:29.955
Tick 59818(59385), Delay 71 ms, IGT 49:29.064, RTA 56:30.152-56:30.223
Tick 59819(59386), Delay 44 ms, IGT 49:29.114, RTA 56:30.223-56:30.267
Tick 59820(59387), Delay 64 ms, IGT 49:29.164, RTA 56:30.267-56:30.331
Tick 59821(59388), Delay 40 ms, IGT 49:29.214, RTA 56:30.331-56:30.371
Tick 59822(59389), Delay 38 ms, IGT 49:29.264, RTA 56:30.371-56:30.409
Tick 59823(59390), Delay 70 ms, IGT 49:29.314, RTA 56:30.409-56:30.479
