Tick 159(109), Delay 6 ms, IGT 00:05.418, RTA 00:10.725-00:10.731
Tick 161(111), Delay 44 ms, IGT 00:05.518, RTA 00:10.783-00:10.827
Tick 164(114), Delay 164 ms, IGT 00:05.668, RTA 00:10.924-00:11.088
Tick 165(115), Delay 4 ms, IGT 00:05.718, RTA 00:11.088-00:11.092
Tick 167(117), Delay 12 ms, IGT 00:05.818, RTA 00:11.141-00:11.153
Tick 168(118), Delay 42 ms, IGT 00:05.868, RTA 00:11.153-00:11.195
Tick 169(119), Delay 45 ms, IGT 00:05.918, RTA 00:11.195-00:11.240
Tick 170(120), Delay 67 ms, IGT 00:05.968, RTA 00:11.240-00:11.307
Tick 171(121), Delay 88 ms, IGT 00:06.018, RTA 00:11.307-00:11.395
Tick 172(122), Delay 10 ms, IGT 00:06.068, RTA 00:11.395-00:11.405
Tick 173(123), Delay 30 ms, IGT 00:06.118, RTA 00:11.405-00:11.435
Tick 174(124), Delay 73 ms, IGT 00:06.168, RTA 00:11.435-00:11.508
Tick 175(125), Delay 66 ms, IGT 00:06.218, RTA 00:11.508-00:11.574
Tick 176(126), Delay 5 ms, IGT 00:06.268, RTA 00:11.574-00:11.579
Tick 177(127), Delay 58 ms, IGT 00:06.318, RTA 00:11.579-00:11.637
Tick 178(128), Delay 58 ms, IGT 00:06.368, RTA 00:11.637-00:11.695
Tick 179(129), Delay 32 ms, IGT 00:06.418, RTA 00:11.695-00:11.727
Tick 180(130), Delay 66 ms, IGT 00:06.468, RTA 00:11.727-00:11.793
Tick 181(131), Delay 45 ms, IGT 00:06.518, RTA 00:11.793-00:11.838
Tick 182(132), Delay 85 ms, IGT 00:06.568, RTA 00:11.838-00:11.923
Tick 183(133), Delay 66 ms, IGT 00:06.618, RTA 00:11.923-00:11.989
Tick 184(134), Delay 5 ms, IGT 00:06.668, RTA 00:11.989-00:11.994
Tick 187(137), Delay 66 ms, IGT 00:06.818, RTA 00:12.086-00:12.152
Tick 192(142), Delay 85 ms, IGT 00:07.068, RTA 00:12.358-00:12.443
Tick 193(143), Delay 5 ms, IGT 00:07.118, RTA 00:12.443-00:12.448
Tick 194(144), Delay 63 ms, IGT 00:07.168, RTA 00:12.448-00:12.511
Tick 195(145), Delay 27 ms, IGT 00:07.218, RTA 00:12.511-00:12.538
Tick 197(147), Delay 44 ms, IGT 00:07.318, RTA 00:12.589-00:12.633
Tick 198(148), Delay 44 ms, IGT 00:07.368, RTA 00:12.633-00:12.677
Tick 199(149), Delay 65 ms, IGT 00:07.418, RTA 00:12.677-00:12.742
Tick 200(150), Delay 93 ms, IGT 00:07.468, RTA 00:12.742-00:12.835
Tick 201(151), Delay 5 ms, IGT 00:07.518, RTA 00:12.835-00:12.840
Tick 204(154), Delay 41 ms, IGT 00:07.668, RTA 00:12.938-00:12.979
Tick 206(156), Delay 63 ms, IGT 00:07.768, RTA 00:13.030-00:13.093
Tick 207(157), Delay 62 ms, IGT 00:07.818, RTA 00:13.093-00:13.155
Tick 208(158), Delay 62 ms, IGT 00:07.868, RTA 00:13.155-00:13.217
Tick 209(159), Delay 108 ms, IGT 00:07.918, RTA 00:13.217-00:13.325
Tick 210(160), Delay 7 ms, IGT 00:07.968, RTA 00:13.325-00:13.332
Tick 211(161), Delay 5 ms, IGT 00:08.018, RTA 00:13.332-00:13.337
Tick 212(162), Delay 66 ms, IGT 00:08.068, RTA 00:13.337-00:13.403
Tick 213(163), Delay 55 ms, IGT 00:08.118, RTA 00:13.403-00:13.458
Tick 214(164), Delay 57 ms, IGT 00:08.168, RTA 00:13.458-00:13.515
Tick 216(166), Delay 55 ms, IGT 00:08.268, RTA 00:13.567-00:13.622
Tick 217(167), Delay 68 ms, IGT 00:08.318, RTA 00:13.622-00:13.690
Tick 218(168), Delay 5 ms, IGT 00:08.368, RTA 00:13.690-00:13.695
Tick 219(169), Delay 86 ms, IGT 00:08.418, RTA 00:13.695-00:13.781
Tick 220(170), Delay 6 ms, IGT 00:08.468, RTA 00:13.781-00:13.787
Tick 221(171), Delay 124 ms, IGT 00:08.518, RTA 00:13.787-00:13.911
Tick 222(172), Delay 8 ms, IGT 00:08.568, RTA 00:13.911-00:13.919
Tick 223(173), Delay 69 ms, IGT 00:08.618, RTA 00:13.919-00:13.988
Tick 224(174), Delay 6 ms, IGT 00:08.668, RTA 00:13.988-00:13.994
Tick 225(175), Delay 60 ms, IGT 00:08.718, RTA 00:13.994-00:14.054
Tick 226(176), Delay 81 ms, IGT 00:08.768, RTA 00:14.054-00:14.135
Tick 227(177), Delay 5 ms, IGT 00:08.818, RTA 00:14.135-00:14.140
Tick 228(178), Delay 62 ms, IGT 00:08.868, RTA 00:14.140-00:14.202
Tick 229(179), Delay 155 ms, IGT 00:08.918, RTA 00:14.202-00:14.357
Tick 230(180), Delay 5 ms, IGT 00:08.968, RTA 00:14.357-00:14.362
Tick 232(182), Delay 7 ms, IGT 00:09.068, RTA 00:14.410-00:14.417
Tick 236(186), Delay 59 ms, IGT 00:09.268, RTA 00:14.561-00:14.620
Tick 237(187), Delay 69 ms, IGT 00:09.318, RTA 00:14.620-00:14.689
Tick 238(188), Delay 40 ms, IGT 00:09.368, RTA 00:14.689-00:14.729
Tick 239(189), Delay 6 ms, IGT 00:09.418, RTA 00:14.729-00:14.735
Tick 240(190), Delay 79 ms, IGT 00:09.468, RTA 00:14.735-00:14.814
Tick 243(193), Delay 110 ms, IGT 00:09.618, RTA 00:14.914-00:15.024
Tick 244(194), Delay 8 ms, IGT 00:09.668, RTA 00:15.024-00:15.032
Tick 245(195), Delay 90 ms, IGT 00:09.718, RTA 00:15.032-00:15.122
Tick 246(196), Delay 6 ms, IGT 00:09.768, RTA 00:15.122-00:15.128
Tick 247(197), Delay 98 ms, IGT 00:09.818, RTA 00:15.128-00:15.226
Tick 248(198), Delay 13 ms, IGT 00:09.868, RTA 00:15.226-00:15.239
Tick 249(199), Delay 5 ms, IGT 00:09.918, RTA 00:15.239-00:15.244
Tick 250(200), Delay 69 ms, IGT 00:09.968, RTA 00:15.244-00:15.313
Tick 251(201), Delay 77 ms, IGT 00:10.018, RTA 00:15.313-00:15.390
